DriverID,Points,TrackID
4,25,1
1,18,1
7,15,1
8,12,1
11,10,1
10,8,1
17,6,1
5,4,1
4,2,1
6,1,1
19,0,1
2,0,1
16,0,1
15,0,1
14,0,1
18,0,1
9,0,1
12,0,1
24,0,1
13,0,1
4,25,2
3,18,2
7,15,2
1,12,2
16,10,2
8,8,2
11,6,2
15,4,2
10,2,2
12,1,2
13,0,2
14,0,2
24,0,2
18,0,2
17,0,2
2,0,2
9,0,2
6,0,2
7,0,2
19,0,2
1,25,3
3,18,3
4,15,3
5,12,3
7,10,3
8,8,3
6,6,3
13,4,3
11,2,3
15,1,3
9,0,3
2,0,3
19,0,3
12,0,3
24,0,3
17,0,3
14,0,3
16,0,3
18,0,3
10,0,3
4,25,4
7,18,4
3,15,4
5,12,4
6,10,4
1,8,4
19,6,4
16,4,4
2,2,4
15,1,4
8,0,4
11,0,4
13,0,4
24,0,4
9,0,4
14,0,4
10,0,4
18,0,4
12,0,4
17,0,4
4,25,5
1,18,5
5,15,5
3,12,5
7,10,5
8,8,5
6,6,5
12,4,5
11,2,5
13,1,5
9,0,5
14,0,5
15,0,5
16,0,5
17,0,5
10,0,5
24,0,5
18,0,5
2,0,5
19,0,5
4,25,6
3,18,6
7,15,6
1,12,6
11,10,6
8,8,6
5,6,6
6,4,6
12,2,6
2,1,6
13,0,6
16,0,6
19,0,6
17,0,6
9,0,6
10,0,6
14,0,6
18,0,6
15,0,6
24,0,6
1,25,7
3,18,7
4,15,7
6,12,7
11,10,7
5,8,7
7,6,7
12,4,7
13,2,7
2,1,7
9,0,7
17,0,7
19,0,7
14,0,7
10,0,7
20,0,7
15,0,7
18,0,7
8,0,7
16,0,7
3,25,8
5,18,8
4,15,8
1,12,8
6,10,8
13,8,8
16,6,8
14,4,8
11,2,8
12,1,8
7,0,8
15,0,8
20,0,8
18,0,8
10,0,8
17,0,8
2,0,8
8,0,8
9,0,8
19,0,8
4,25,9
3,18,9
5,15,9
7,12,9
17,10,9
6,8,9
13,6,9
19,4,9
9,2,9
1,1,9
14,0,9
18,0,9
2,0,9
12,0,9
20,0,9
16,0,9
15,0,9
8,0,9
11,0,9
0,0,9
7,25,10
1,18,10
8,15,10
4,12,10
5,10,10
6,8,10
9,6,10
17,4,10
16,2,10
12,1,10
15,0,10
2,0,10
20,0,10
18,0,10
19,0,10
13,0,10
10,0,10
3,0,10
14,0,10
11,0,10
3,25,11
4,18,11
5,15,11
6,12,11
7,10,11
14,8,11
9,6,11
17,4,11
18,2,11
16,1,11
15,0,11
13,0,11
19,0,11
10,0,11
20,0,11
2,0,11
11,0,11
1,0,11
8,0,11
12,0,11
3,25,12
4,18,12
18,15,12
6,12,12
1,10,12
19,8,12
10,6,12
11,4,12
9,2,12
7,1,12
15,0,12
12,0,12
16,0,12
5,0,12
2,0,12
8,0,12
13,0,12
17,0,12
14,0,12
20,0,12
4,25,13
3,18,13
5,15,13
1,12,13
7,10,13
11,8,13
6,6,13
14,4,13
18,2,13
19,1,13
15,0,13
17,0,13
2,0,13
10,0,13
16,0,13
8,0,13
9,0,13
12,0,13
20,0,13
13,0,13
3,25,14
4,18,14
7,15,14
5,12,14
9,10,14
18,8,14
10,6,14
14,4,14
1,2,14
8,1,14
13,0,14
6,0,14
17,0,14
12,0,14
11,0,14
16,0,14
2,0,14
20,0,14
19,0,14
15,0,14
3,25,15
1,18,15
13,15,15
7,12,15
11,10,15
15,8,15
10,6,15
9,4,15
2,2,15
16,1,15
20,0,15
14,0,15
12,0,15
17,0,15
18,0,15
8,0,15
19,0,15
3,0,15
5,0,15
6,0,15
1,25,16
3,18,16
4,15,16
5,12,16
7,10,16
6,8,16
11,6,16
18,4,16
8,2,16
13,1,16
12,0,16
15,0,16
2,0,16
14,0,16
16,0,16
19,0,16
20,0,16
10,0,16
9,0,16
17,0,16
1,25,17
7,18,17
12,15,17
8,12,17
14,10,17
2,8,17
3,6,17
6,4,17
5,2,17
13,1,17
18,0,17
15,0,17
11,0,17
16,0,17
9,0,17
17,0,17
10,0,17
19,0,17
20,0,17
3,0,17
7,25,18
1,18,18
3,15,18
4,12,18
8,10,18
5,8,18
9,6,18
6,4,18
15,2,18
12,1,18
13,0,18
2,0,18
10,0,18
11,0,18
14,0,18
20,0,18
18,0,18
16,0,18
19,0,18
17,0,18
1,25,19
3,18,19
5,15,19
6,12,19
4,10,19
7,8,19
2,6,19
17,4,19
15,2,19
9,1,19
14,0,19
10,0,19
8,0,19
11,0,19
16,0,19
13,0,19
20,0,19
18,0,19
19,0,19
12,0,19
3,25,20
5,18,20
1,15,20
15,12,20
4,10,20
8,8,20
7,6,20
6,4,20
16,2,20
18,1,20
2,0,20
11,0,20
13,0,20
10,0,20
19,0,20
20,0,20
12,0,20
9,0,20
17,0,20
14,0,20
3,25,21
8,18,21
1,15,21
7,12,21
4,10,21
15,8,21
14,6,21
13,4,21
17,2,21
19,1,21
11,0,21
16,0,21
12,0,21
9,0,21
20,0,21
10,0,21
2,0,21
6,0,21
5,0,21
18,0,21
1,25,22
7,18,22
8,15,22
5,12,22
12,10,22
13,8,22
17,6,22
6,4,22
16,2,22
15,1,22
9,0,22
2,0,22
19,0,22
14,0,22
20,0,22
11,0,22
18,0,22
10,0,22
3,0,22
4,0,22
1,25,23
4,18,23
12,15,23
3,12,23
8,10,23
7,8,23
9,6,23
5,4,23
14,2,23
2,1,23
11,0,23
6,0,23
18,0,23
20,0,23
16,0,23
19,0,23
10,0,23
13,0,23
15,0,23
17,0,23
1,25,24
4,18,24
3,15,24
5,12,24
7,10,24
9,8,24
16,6,24
6,4,24
17,2,24
10,1,24
18,0,24
15,0,24
12,0,24
2,0,24
8,0,24
11,0,24
13,0,24
14,0,24
19,0,24
20,0,24
